"","Day","Hr","Temp","KWH"
"493","12/21/2014",9,30.11,79.1157129303742
"494","12/21/2014",10,30.92,78.1480470613574
"495","12/21/2014",11,32,77.2775382537188
"496","12/21/2014",12,32,76.0184012005673
"497","12/21/2014",13,33.08,75.1478923929287
"498","12/21/2014",14,33.08,73.8887553397771
"499","12/21/2014",15,33.8,72.8887037836342
"500","12/21/2014",16,33.98,71.6943381047348
"501","12/21/2014",17,33.89,70.4028153644572
"502","12/21/2014",18,33.98,69.1760639984317
"503","12/21/2014",19,33.98,67.9169269452801
"504","12/21/2014",20,33.98,-14.7335267261474
"505","12/21/2014",21,33.98,-15.992663779299
"506","12/21/2014",22,33.98,-17.2518008324505
"507","12/21/2014",23,33.98,-18.5109378856021
"508","12/22/2014",0,33.08,64.4542535615743
"509","12/22/2014",1,33.08,63.1951165084227
"510","12/22/2014",2,33.08,61.9359794552712
"511","12/22/2014",3,33.08,60.6768424021196
"512","12/22/2014",4,33.08,59.4177053489681
"513","12/22/2014",5,33.08,58.1585682958165
"514","12/22/2014",6,33.56,57.0721549073374
"515","12/22/2014",7,33.98,137.35546767905
"516","12/22/2014",8,35.06,136.484958871412
"517","12/22/2014",9,37.94,136.262163806295
"518","12/22/2014",10,39.92,135.715511869917
"519","12/22/2014",11,42.08,135.233631307791
"520","12/22/2014",12,44.06,134.686979371414
"521","12/22/2014",13,43.46,133.211937737421
"522","12/22/2014",14,42.44,131.585762896841
"523","12/22/2014",15,41.9,130.132311720933
"524","12/22/2014",16,41,128.549317796521
"525","12/22/2014",17,41,127.290180743369
"526","12/22/2014",18,40.1,125.707186818957
"527","12/22/2014",19,42.56,125.333258547251
"528","12/22/2014",20,41,42.1214529656383
"529","12/22/2014",21,42.08,41.2509441579997
"530","12/22/2014",22,42.08,39.9918071048481
"531","12/22/2014",23,42.08,38.7326700516966
"532","12/23/2014",0,42.89,68.7868652955215
"533","12/23/2014",1,42.89,67.5277282423699
"534","12/23/2014",2,42.86,66.2577959601763
"535","12/23/2014",3,42.86,64.9986589070248
"536","12/23/2014",4,43.43,63.9446312056717
"537","12/23/2014",5,42.98,62.5235657168898
"538","12/23/2014",6,42.845,61.2158501330491
"539","12/23/2014",7,44.06,141.785236474376
"540","12/23/2014",8,44.06,140.526099421224
"541","12/23/2014",9,44.96,139.590819239333
"542","12/23/2014",10,44.06,138.007825314921
"543","12/23/2014",11,44.96,137.07254513303
"544","12/23/2014",12,44.96,135.813408079879
"545","12/23/2014",13,44.72,134.467909194391
"546","12/23/2014",14,44.96,133.295133973575
"547","12/23/2014",15,44.96,132.035996920424
"548","12/23/2014",16,45.68,131.035945364281
"549","12/23/2014",17,46.04,129.906351059634
"550","12/23/2014",18,46.04,128.647214006482
"551","12/23/2014",19,46.04,127.388076953331
"552","12/23/2014",20,46.04,44.7376232819031
"553","12/23/2014",21,42.98,42.3773728664648
"554","12/23/2014",22,42.98,41.1182358133132
"555","12/23/2014",23,42.08,39.5352418889009
"556","12/24/2014",0,42.08,69.297965948591
"557","12/24/2014",1,42.08,68.0388288954394
"558","12/24/2014",2,42.08,66.7796918422879
"559","12/24/2014",3,42.08,65.5205547891363
"560","12/24/2014",4,41,63.8727894904718
"561","12/24/2014",5,41,62.6136524373202
"562","12/24/2014",6,41,61.3545153841687
"563","12/24/2014",7,42.08,141.875323194806
"564","12/24/2014",8,42.08,140.616186141655
"565","12/24/2014",9,42.98,139.680905959764
"566","12/24/2014",10,44.96,139.134254023386
"567","12/24/2014",11,44.96,137.875116970234
"568","12/24/2014",12,44.96,136.615979917083
"569","12/24/2014",13,44.96,135.356842863931
"570","12/24/2014",14,44.96,134.09770581078
"571","12/24/2014",15,44.96,132.838568757628
"572","12/24/2014",16,46.04,131.96805994999
"573","12/24/2014",17,44.78,130.255523277073
"574","12/24/2014",18,46.22,129.514557217939
"575","12/24/2014",19,46.04,128.190648790535
"576","12/24/2014",20,44.78,45.0867954993422
"577","12/24/2014",21,44.78,43.8276584461907
"578","12/24/2014",22,46.04,43.0219210128043
"579","12/24/2014",23,44.96,41.3741557141397
"580","12/25/2014",0,44.78,71.0721083995777
"581","12/25/2014",1,44.72,69.7913808883421
"582","12/25/2014",2,46.94,69.3310907843005
"583","12/25/2014",3,57.92,72.0230075605309
"584","12/25/2014",4,58.46,70.9581846301359
"585","12/25/2014",5,57.56,69.3751907057235
"586","12/25/2014",6,57.56,68.1160536525719
"587","12/25/2014",7,55.67,147.568133788049
"588","12/25/2014",8,57.02,146.794782041788
"589","12/25/2014",9,53.96,144.43453162635
"590","12/25/2014",10,51.98,142.462909456425
"591","12/25/2014",11,50,140.491287286499
"592","12/25/2014",12,51.08,139.620778478861
"593","12/25/2014",13,51.08,138.361641425709
"594","12/25/2014",14,50,136.713876127045
